0,0,
1,1,任务道具
2,2,任务指令
3,3,冲刺
4,4,坐骑
5,5,传送
6,6,返回
7,7,攻击
8,8,射击
9,9,先锋剑
10,A,铁壁
11,B,狂怒剑
12,C,渐愈
13,D,警觉
14,E,闪光
15,F,暴乱剑
16,10,盾牌猛击
17,11,预警
18,12,挑衅
19,13,钢铁意志
20,14,战逃反应
21,15,战女神之怒
22,16,壁垒
23,17,厄运流转
24,18,投盾
25,19,盾牌重击
26,1A,忠义之剑
27,1B,保护
28,1C,忠义之盾
29,1D,深奥之灵
30,1E,神圣领域
31,1F,重劈
32,20,预见
33,21,碎骨打
34,22,浴血
35,23,裂骨斩
36,24,慈悲杀
37,25,凶残裂
38,26,狂暴
39,27,残暴斧
40,28,战栗
41,29,超压斧
42,2A,暴风斩
43,2B,死斗
44,2C,复仇
45,2D,暴风碎
46,2E,飞斧
47,2F,寒风斧
48,30,守护
49,31,原初之魂
50,32,解脱
51,33,钢铁旋风
52,34,战嚎
53,35,连击
54,36,正拳
55,37,飘羽步
56,38,崩拳
57,39,内丹
58,3A,闪身拳
59,3B,发劲
60,3C,金刚体势
61,3D,双掌打
62,3E,破坏神冲
63,3F,红莲体势
64,40,铁山靠
65,41,真言
66,42,破碎拳
67,43,空鸣拳
68,44,秘孔拳
69,45,震脚
70,46,地烈劲
71,47,罗刹冲
72,48,短劲
73,49,疾风体势
74,4A,双龙脚
75,4B,精准刺
76,4C,虚枪
77,4D,敏锐
78,4E,贯通刺
79,4F,重刺
80,50,运气
81,51,脉冲枪
82,52,扫堂枪
83,53,龙剑
84,54,直刺
85,55,舍身
86,56,死天枪
87,57,开膛枪
88,58,樱花怒放
89,59,荆棘环刺
90,5A,贯穿尖
91,5B,二重刺
92,5C,跳跃
93,5D,龙枪
94,5E,回避跳跃
95,5F,破碎冲
96,60,龙炎冲
97,61,强力射击
98,62,直线射击
99,63,鹰眼
100,64,毒咬箭
101,65,猛者强击
102,66,烈火箭
103,67,恶终箭
104,68,静者强击
105,69,敏捷之歌
106,6A,连珠箭
107,6B,纷乱箭
108,6C,定影箭
109,6D,迟钝箭
110,6E,失血箭
111,6F,广域群射
112,70,后跃射击
113,71,风蚀箭
114,72,贤者的叙事谣
115,73,魔人的安魂曲
116,74,军神的赞美歌
117,75,死亡箭雨
118,76,战斗之声
119,77,飞石
120,78,治疗
121,79,疾风
122,7A,战姿
123,7B,护盾
124,7C,医治
125,7D,复活
126,7E,康复
127,7F,坚石
128,80,沉静
129,81,石肤
130,82,女神的加护
131,83,愈疗
132,84,烈风
133,85,医济
134,86,水流环
135,87,救疗
136,88,神速咏唱
137,89,再生
138,8A,神封印
139,8B,神圣
140,8C,天赐祝福
141,8D,火炎
142,8E,冰结
143,8F,沉稳咏唱
144,90,闪雷
145,91,催眠
146,92,冰冻
147,93,烈炎
148,94,震雷
149,95,星灵移位
150,96,即刻咏唱
151,97,昏沉
152,98,爆炎
153,99,暴雷
154,9A,冰封
155,9B,以太步
156,9C,崩溃
157,9D,魔罩
158,9E,转魔
159,9F,玄冰
160,A0,万有复兴
161,A1,坚壁
162,A2,核爆
163,A3,毁灭
164,A4,毒菌
165,A5,召唤
166,A6,以太超流
167,A7,能量吸收
168,A8,瘴气
169,A9,病毒
170,AA,召唤II
171,AB,维持
172,AC,毁坏
173,AD,复生
174,AE,灾祸
175,AF,以眼还眼
176,B0,振奋
177,B1,瘴疠
178,B2,猛毒菌
179,B3,暗影核爆
180,B4,召唤III
181,B5,溃烂爆发
182,B6,三重止步
183,B7,鞭策
184,B8,内力迸发
185,B9,鼓舞激励之策
186,BA,士气高扬之策
187,BB,生命净化法
188,BC,野战治疗阵
189,BD,生命活性法
190,BE,医术
191,BF,坚石肤
192,C0,
193,C1,
194,C2,
195,C3,
196,C4,反撃効果
197,C5,铜墙铁盾
198,C6,强力守护
199,C7,终极堡垒
200,C8,勇猛烈斩
201,C9,刀光剑舞
202,CA,最终天堂
203,CB,苍穹破碎
204,CC,星体风暴
205,CD,陨石流星
206,CE,治愈微风
207,CF,大地气息
208,D0,生命鼓动
209,D1,极限技
210,D2,三角测量
211,D3,树木之声
212,D4,潜行
213,D5,筹备
214,D6,开拓者之手
215,D7,农夫之智
216,D8,樵夫之技
217,D9,诺菲卡的加护
218,DA,环境探知
219,DB,比尔格的加护
220,DC,环境探知II
221,DD,丛林之相
222,DE,天赐收成
223,DF,
224,E0,天赐收成II
225,E1,转变
226,E2,转变II
227,E3,矿脉勘探
228,E4,大地勘察
229,E5,潜行
230,E6,筹备
231,E7,登山者之感
232,E8,石工之理
233,E9,雕工之力
234,EA,纳尔札尔的加护
235,EB,敏锐视野
236,EC,梅茵菲娜的加护
237,ED,敏锐视野II
238,EE,山岳之相
239,EF,莫非王土
240,F0,
241,F1,莫非王土II
242,F2,发掘
243,F3,发掘II
244,F4,稳手
245,F5,稳手
246,F6,稳手
247,F7,稳手
248,F8,稳手
249,F9,稳手
250,FA,稳手
251,FB,稳手
252,FC,内静
253,FD,内静
254,FE,内静
255,FF,内静
256,100,内静
257,101,内静
258,102,内静
259,103,内静
260,104,阔步
261,105,阔步
262,106,阔步
263,107,阔步
264,108,阔步
265,109,阔步
266,10A,阔步
267,10B,阔步
268,10C,以小钓大II
269,10D,双重提钩
270,10E,发掘III
271,10F,转变III
272,110,高产II
273,111,丰收II
274,112,纳尔札尔的指引
275,113,诺菲卡的指引
276,114,松弛
277,115,新颖
278,116,掌握
279,117,俭约
280,118,
281,119,稳手II
282,11A,
283,11B,新颖II
284,11C,改革
285,11D,俭约II
286,11E,安逸
287,11F,回收
288,120,选饵
289,121,抛竿
290,122,树木之声II
291,123,大地勘察II
292,124,利姆莱茵的加护
293,125,沙利亚克的加护
294,126,环境探知III
295,127,敏锐视野III
296,128,提钩
297,129,以小钓大
298,12A,潜行
299,12B,中断
300,12C,放生
301,12D,直觉甄别II
302,12E,直觉甄别II
303,12F,
304,130,
305,131,
306,132,
307,133,沉默
308,134,麻痹
309,135,加速
310,136,减速
311,137,火棘屏障
312,138,冰棘屏障
313,139,电棘屏障
314,13A,物理石肤
315,13B,魔法石肤
316,13C,石肤
317,13D,污浊吐息
318,13E,寒霜吐息
319,13F,后踢
320,140,狂奔
321,141,大角
322,142,投石
323,143,毒手
324,144,神偷
325,145,闪雷直击
326,146,闪雷风暴
327,147,黏网
328,148,腐蚀喷雾
329,149,致命尾刺
330,14A,致命尾刺
331,14B,飞翼斩
332,14C,战栗尖叫
333,14D,蛋黄冲击
334,14E,横冲直撞
335,14F,怒发冲冠
336,150,嚎叫
337,151,自爆
338,152,爆燃
339,153,爆轰
340,154,苦行
341,155,地狱挥
342,156,吸魂
343,157,死亡宣告
344,158,种弹齐射
345,159,飒飒酸弹
346,15A,飒飒速弹
347,15B,滑舌
348,15C,黏性分泌物
349,15D,倦怠舔舐
350,15E,微冲击波
351,15F,蓄能晶须
352,160,混沌之眼
353,161,冲击波
354,162,好奇
355,163,大冲击波
356,164,钢铁正义
357,165,圣意
358,166,痛苦之刃
359,167,赦免之刃
360,168,忏悔之刃
361,169,平直剑
362,16A,精神冲击
363,16B,吸血触
364,16C,酸雾
365,16D,酸雾
366,16E,酸雾
367,16F,酸雾
368,170,迷眼
369,171,投石
370,172,轰炸
371,173,侵扰
372,174,腐坏
373,175,空翻斩
374,176,坚壳防御
375,177,坚壳防御
376,178,坚壳防御
377,179,惊惶
378,17A,吸血
379,17B,超声波
380,17C,超声波
381,17D,释放汁液
382,17E,释放黏液
383,17F,释放忘液
384,180,震击
385,181,震击
386,182,震击
387,183,撕咬
388,184,溶解液
389,185,溶解液
390,186,叮咬
391,187,吸血
392,188,吸血
393,189,致盲冲击
394,18A,寂静之光
395,18B,束缚枝
396,18C,菌丝鞭
397,18D,催吐孢云
398,18E,沉睡孢云
399,18F,嬉闹攻击
400,190,热情律动
401,191,狂热击
402,192,加速
403,193,帝国式强壮剂
404,194,帝国式兴奋剂
405,195,投弹
406,196,投弹
407,197,爆竹雨
408,198,狂野喧嚣
409,199,毒滴牙
410,19A,石化凝视
411,19B,后翻
412,19C,圆尾扫
413,19D,火球
414,19E,杂音
415,19F,爆裂尾
416,1A0,金口舌
417,1A1,龟足踏
418,1A2,甲壳强化
419,1A3,侧身斩
420,1A4,研磨石
421,1A5,愤怒一击
422,1A6,超猛击
423,1A7,风暴将至
424,1A8,敏捷阵风
425,1A9,反射
426,1AA,赋火
427,1AB,赋冰
428,1AC,赋风
429,1AD,赋土
430,1AE,赋雷
431,1AF,赋水
432,1B0,吸血
433,1B1,
434,1B2,
435,1B3,
436,1B4,
437,1B5,
438,1B6,
439,1B7,
440,1B8,顶枝冲压
441,1B9,巨木龙卷
442,1BA,橡果炸弹
443,1BB,岩石骷髅
444,1BC,巨石霹雳
445,1BD,沙尘喷射
446,1BE,雷鸣吐息
447,1BF,登場
448,1C0,水浪吐息
449,1C1,怪异光
450,1C2,惊奇光
451,1C3,攻撃
452,1C4,热风
453,1C5,烈焰焚烧
454,1C6,火神爆裂
455,1C7,地火喷发
456,1C8,光辉炎柱
457,1C9,深红旋风
458,1CA,地狱之火炎
459,1CB,イフリート：ジャンプ
460,1CC,イフリート：着地
461,1CD,イフリート：炎獄の楔召喚
462,1CE,イフリート：角復活
463,1CF,イフリート：怒りオン
464,1D0,炎獄の楔：出現
465,1D1,炎獄の楔：死亡
466,1D2,
467,1D3,
468,1D4,
469,1D5,
470,1D6,
471,1D7,
472,1D8,
473,1D9,
474,1DA,蛮勇
475,1DB,三连击
476,1DC,步法
477,1DD,直击要害
478,1DE,后手冲击
479,1DF,草木荣枯
480,1E0,光合成
481,1E1,光呼吸
482,1E2,平原震裂
483,1E3,岩石崩溃
484,1E4,石灰化
485,1E5,汎用：詩人技：回避アップ歌
486,1E6,汎用：詩人技：攻撃アップ歌
487,1E7,汎用：詩人技：防御アップ歌
488,1E8,寒毒接触
489,1E9,甜钢
490,1EA,石火豪拳
491,1EB,勃然大怒
492,1EC,贯穿箭
493,1ED,汎用：巴術技：単体スロウ
494,1EE,汎用：巴術技：単体防御DOWN
495,1EF,合掌
496,1F0,扬沙
497,1F1,猛撞
498,1F2,寒霜凝视
499,1F3,石化凝视
500,1F4,狂奔
501,1F5,五十针刺
502,1F6,百针刺
503,1F7,千针刺
504,1F8,猛锤喙
505,1F9,石化吐息
506,1FA,麻痹吐息
507,1FB,剧毒吐息
508,1FC,催眠吐息
509,1FD,狂吠
510,1FE,纠缠咬
511,1FF,嗜血咬
512,200,诅咒视线
513,201,恐怖视线
514,202,5级石化
515,203,硬质化
516,204,甲壳破裂
517,205,火龙卷
518,206,洒落雷
519,207,雷牙
520,208,冲顶
521,209,地震嚎
522,20A,羊毛脂
523,20B,捕猎钳
524,20C,酸液喷射
525,20D,钻头炮
526,20E,陶瓷合金钻头
527,20F,过载
528,210,黄沙吐息
529,211,沙暴
530,212,剧毒吐息
531,213,大地崩裂
532,214,地震
533,215,沙柱
534,216,巨剑
535,217,强力打击
536,218,抗魔咒
537,219,魔导激光
538,21A,过热
539,21B,排气
540,21C,魔导结界
541,21D,啃咬
542,21E,海浪飞扬
543,21F,尘土飞扬
544,220,狂食
545,221,粉碎冲击
546,222,地层断裂
547,223,地层断裂
548,224,喉歌
549,225,洪亮巨响
550,226,超级突进
551,227,泥土外衣
552,228,脊针刺
553,229,铁甲
554,22A,收束手榴弹
555,22B,水炮
556,22C,默水球
557,22D,撕抓
558,22E,毒液猛咬
559,22F,巨龙吐息
560,230,花岗岩雨
561,231,回旋踢
562,232,地爆弹
563,233,猛毒粘液
564,234,空降
565,235,カラードラゴン：飛び立ち消滅
566,236,泡泡吐息
567,237,大剪钳
568,238,泡泡浴
569,239,蟹甲流
570,23A,猛啄
571,23B,禽臭
572,23C,馊嗝
573,23D,投掷沙丁鱼
574,23E,反哺
575,23F,击倒
576,240,吸气
577,241,グゥーブー：飲み込む
578,242,グゥーブー：吐きだす
579,243,发霉喷嚏
580,244,患病喷嚏
581,245,アトモス：吸い込み
582,246,アトモス：吐きだし
583,247,诡异视线
584,248,腐烂吐息
585,249,咒言
586,24A,怨念
587,24B,渗透
588,24C,雷孢子
589,24D,刺孢子
590,24E,咩叫
591,24F,冲撞
592,250,摇篮曲
593,251,芳香
594,252,尖啸
595,253,投石
596,254,野蛮咆哮
597,255,ドラゴン毒沼：発生ループ
598,256,ドラゴン毒沼：消滅
599,257,生命水
600,258,骨灰
601,259,号叫
602,25A,哀叫
603,25B,惊叫
604,25C,臭气
605,25D,甜气
606,25E,藤鞭穿刺
607,25F,防守策略
608,260,切裂
609,261,大手
610,262,死亡之爪
611,263,デスクロー：デスクロー解除
612,264,碎骨拳
613,265,落肘
614,266,烧心
